cite_benchmark,cite_dinamizator,r
Cordeau and Laporte (2003),Berbeglia et al. (2012),0.93
Cordeau and Laporte (2003),Fabri and Recht (2006),0.8
Cordeau and Laporte (2003),Pankratz (2005),0.74
Cordeau and Laporte (2003),Pureza and Laporte (2008),0.86
Li and Lim (2003),Berbeglia et al. (2012),0.99
Li and Lim (2003),Fabri and Recht (2006),0.78
Li and Lim (2003),Pankratz (2005),0.82
Li and Lim (2003),Pureza and Laporte (2008),0.93
Ropke et al. (2007),Berbeglia et al. (2012),0.95
Ropke et al. (2007),Fabri and Recht (2006),0.81
Ropke et al. (2007),Pankratz (2005),0.78
Ropke et al. (2007),Pureza and Laporte (2008),0.89
