cite_benchmark,cite_dinamizator,total,mean,std
Cordeau and Laporte (2003),Berbeglia et al. (2012),7.199999999999999,6.800000000000001,2.3
Cordeau and Laporte (2003),Fabri and Recht (2006),50.2,50.2,0.4
Cordeau and Laporte (2003),Pankratz (2005),0.0,0.0,0.0
Cordeau and Laporte (2003),Pureza and Laporte (2008),50.0,50.0,0.0
Li and Lim (2003),Berbeglia et al. (2012),3.5999999999999996,8.5,11.200000000000001
Li and Lim (2003),Fabri and Recht (2006),19.900000000000002,23.200000000000003,27.6
Li and Lim (2003),Pankratz (2005),0.0,0.3,0.1
Li and Lim (2003),Pureza and Laporte (2008),19.400000000000002,48.5,20.5
Ropke et al. (2007),Berbeglia et al. (2012),15.6,17.0,8.3
Ropke et al. (2007),Fabri and Recht (2006),50.8,50.8,1.4000000000000001
Ropke et al. (2007),Pankratz (2005),0.0,0.0,0.0
Ropke et al. (2007),Pureza and Laporte (2008),50.2,50.2,0.8
